,year,q,co2avg
0,2006,q3,139.56944444444443
1,2006,q4,76.50000000000001
2,2007,q2,104.05416666666667
3,2007,q3,110.91222222222224
4,2007,q4,50.80333333333331
5,2008,q1,17.623749999999998
6,2008,q2,85.00866666666666
7,2008,q3,153.53027777777777
8,2008,q4,87.96235294117648
9,2009,q1,26.06583333333333
10,2009,q2,107.40749999999998
11,2009,q3,106.408
12,2009,q4,71.414
13,2010,q2,69.27933333333334
14,2010,q3,83.29124999999999
15,2010,q4,75.825
16,2011,q2,135.90181818181816
17,2011,q3,254.7825
18,2012,q2,81.22583333333334
19,2012,q3,133.40458333333333
20,2012,q4,58.666666666666664
21,2013,q2,194.763
22,2013,q3,129.732
23,2013,q4,82.914
